latitude,longitude,stop,sublines,substopid
40.746686,-73.891274,74th St-Roosevelt Ave,7 E F G R V,169
40.718357,-73.837370,75th Ave,E F,271
40.773671,-73.959876,77th St,6,117
40.629647,-74.025652,77th St,R,409
40.783831,-73.980098,79th St,1 2,19
40.613394,-74.000626,79th St,M W,418
40.666149,-73.980021,7th Ave,F,341
40.677142,-73.972585,7th Ave,Q,381
40.762953,-73.981892,7th Ave-53rd St,B D E,254
40.679152,-73.859205,80th St,A,235
40.781504,-73.972250,81st St,B C,188
40.747419,-73.883573,82nd St-Jackson Hts,7,170
40.788606,-73.976203,86th St,1 2,20
40.779526,-73.955514,86th St,4 5 6,118
40.785936,-73.968978,86th St,B C,189
40.592795,-73.978246,86th St,N,432
40.622467,-74.028550,86th St,R,410
40.679662,-73.851705,88th St,A,236
40.634999,-74.011586,8th Ave,N,424
40.730611,-73.992404,8th St-Broadway,N R,370
40.646092,-73.994779,9 Ave,M W,412
40.748383,-73.876395,90th St-Elmhurst Ave,7,171
40.616621,-74.030851,95th St,R,411
40.793966,-73.972240,96th St,1 2 3,21
40.785867,-73.950910,96th St,6,119
40.791715,-73.964717,96th St,B C,190
40.670931,-73.988213,9th St-4 Ave,F M N R,401
40.676974,-73.898995,Alabama Ave,J,319
40.865437,-73.867379,Allerton Ave,2 5,57
40.667763,-73.834175,Aqueduct-North Conduit Ave,A,241
40.730634,-73.990565,Astor Place,6,108
40.769964,-73.917363,Astoria Blvd,N W,359
40.675356,-73.903277,Atlantic Ave,L,455
40.684495,-73.976840,Atlantic Ave-Pacific St,1 2 4 5 M N Q R W,380
40.629256,-73.961779,Ave H,Q,388
40.625373,-73.976192,Ave I,F,347
40.624723,-73.960863,Ave J,Q,389
40.617638,-73.959544,Ave M,Q,390
40.614662,-73.974168,Ave N,F,349
40.608892,-73.973102,Ave P,F,350
40.596256,-73.973299,Ave U,F,352
40.597635,-73.979258,Ave U,N,431
40.599619,-73.956077,Ave U,Q,392
40.589402,-73.974170,Ave X,F,353
40.588922,-73.983610,Bay 50th St,W,423
40.601967,-73.993859,Bay Pkwy,M W,421
40.611826,-73.982077,Bay Pkwy,N,429
40.620983,-73.975315,Bay Pkwy-22nd Ave,F,348
40.634878,-74.023489,Bay Ridge Ave,R,408
40.878721,-73.838557,Baychester Ave,5,67
40.583238,-73.827484,Beach 105th St,A S,252
40.599934,-73.761451,Beach 25th St,A,248
40.595360,-73.768139,Beach 36th St,A,247
40.593003,-73.775843,Beach 44th St,A,246
40.592447,-73.788457,Beach 60th St,A,245
40.590899,-73.796610,Beach 67th St,A,244
40.588064,-73.813436,Beach 90th St,A S,250
40.585250,-73.820323,Beach 98th St,A S,251
40.717247,-73.956738,Bedford Ave,L,442
40.873311,-73.890693,Bedford Park Blvd,4,135
40.872964,-73.887288,Bedford Park Blvd,B D,214
40.689616,-73.953507,Bedford-Nostrand Aves,G,281
40.680800,-73.975069,Bergen St,1 2,77
40.686025,-73.990721,Bergen St,F G,337
40.645297,-73.948861,Beverley Rd,2 5,95
40.644163,-73.964444,Beverley Rd,Q,385
40.669879,-73.959352,Botanic Garden,,433
40.720312,-73.994024,Bowery,J M,307
40.705078,-74.013934,Bowling Green,4 5,101
40.577717,-73.960939,Brighton Beach,Q,395
40.608085,-73.815542,Broad Channel,A S,243
40.707147,-74.010716,Broad St,J M Z,303
40.706182,-73.950257,Broadway,G,284
40.761397,-73.925439,Broadway,N W,357
40.849322,-73.868832,Bronx Park East,2 5,55
40.807540,-73.919257,Brook Ave,6,139
40.846756,-73.832613,Buhre Ave,6,154
40.871413,-73.867147,Burke Ave,2 5,58
40.853836,-73.907312,Burnside Ave,4,131
40.682968,-73.905283,Bushwick Ave,L,453
40.725913,-73.996357,Bway-Lafayette St-Bleecker St,6 F S V,291
40.726310,-73.994350,Bway-Lafayette St-Bleecker St,6 F S V,107
40.721342,-74.005294,Canal-Church Sts,A C E,178
40.723170,-74.006179,Canal-Varick Sts,1 2,6
40.680186,-73.994907,Carroll St,F G,338
40.834203,-73.851501,Castle Hill Ave,6,150
40.804109,-73.966742,Cathedral Pkwy,1,23
40.800591,-73.958153,Cathedral Pkwy,B C,192
40.697873,-73.927706,Central Ave,M,330
40.716005,-74.008796,Chambers St-W Broadway,1 2,4
40.713556,-74.004153,Chambers-Brooklyn Bridge,4 5 6 J M Z,104
40.713888,-74.003384,Chambers-Brooklyn Bridge,4 5 6 J M Z,305
40.714629,-74.008150,Chambers-World Trade Ctr-Park Pl,1 2 A C E,216
40.682905,-73.910456,Chauncey St,J Z,317
40.734074,-74.002529,Christopher St,1 2,8
40.650817,-73.949581,Church Ave,2 5,94
40.644355,-73.979696,Church Ave,F,344
40.650511,-73.962888,Church Ave,Q,384
40.713610,-74.006724,City Hall-Broadway,N R,373
40.697450,-73.992984,Clark St,1 2,72
40.688865,-73.959987,Classon Ave,G,280
40.679814,-73.884930,Cleveland St,J,320
40.683335,-73.964704,Clinton-Washington Aves,C,222
40.688080,-73.966855,Clinton-Washington Aves,G,279
40.640853,-73.963821,Cortelyou Rd,Q,386
40.712165,-74.012134,Cortlandt St-Greenwich St,1 9,3
40.711018,-74.010770,Cortlandt St-Trinity Pl,N R,374
40.693781,-73.990580,Court St-Borough Hall,1 2 4 5 M R,377
40.692300,-73.989485,Court St-Borough Hall,4 5,100
40.683120,-73.873928,Crescent St,J Z,322
40.805481,-73.914272,Cypress Ave,6,140
40.689806,-73.873170,Cypress Hills,J,323
40.703864,-73.918439,DeKalb Ave,L,449
40.689850,-73.981266,DeKalb Ave,M N Q R,379
40.718542,-73.988197,Delancey-Essex Sts,F J M Z,300
40.774874,-73.911427,Ditmars Blvd,N W,360
40.636090,-73.978245,Ditmas Ave,F,345
40.861564,-73.924766,Dyckman St,1,32
40.865502,-73.927262,Dyckman St-200th St,A,203
40.888595,-73.831306,Dyre Ave-233rd St,5,68
40.650841,-73.899865,E 105th St,L,459
40.808695,-73.907658,E 143rd St,6,141
40.812192,-73.904059,E 149th St,6,142
40.833073,-73.861530,E 177th St-Parkchester,6,149
40.841876,-73.873761,E 180th St,2 5,54
40.677992,-73.905935,E New York-Eastern Pkwy,A C J L Z,229
40.840579,-73.879751,E Tremont Ave,2 5,53
40.714409,-73.990219,East Broadway,F,301
40.672148,-73.964659,Eastern Pkwy,1 2,79
40.828576,-73.879497,Elder Ave,6,146
40.691321,-73.867226,Elderts Lane,J Z,324
40.742328,-73.881804,Elmhurst Ave,G R V,265
40.675275,-73.872409,Euclid Ave,A C,233
40.603992,-73.755358,Far Rockaway-Mott Ave,A,249
40.632918,-73.947595,Flatitudebush Ave,2 5,97
40.700582,-73.950288,Flushing Ave,G,283
40.700267,-73.941009,Flushing Ave,J M,312
40.862742,-73.901089,Fordham Rd,4,133
40.861326,-73.897692,Fordham Rd,B D,212
40.704341,-73.903111,Forest Ave,M,334
40.692293,-73.860423,Forest Pkwy,J,325
40.681496,-73.957209,Franklin Ave,C S,223
40.719775,-74.006824,Franklin St,1 2,5
40.830485,-73.891822,Freeman St,2 5,51
40.706193,-73.896089,Fresh Pond Rd,M,335
40.650862,-73.975569,Ft Hamilton Pkwy,F,343
40.640935,-73.994327,Ft Hamilton Pkwy,M W,413
40.631482,-74.005379,Ft Hamilton Pkwy,N,425
40.687289,-73.974837,Fulton St,G,278
40.710582,-74.007387,Fulton St-Broadway-Nassau,1 2 4 5 A C J M Z,304
40.689449,-73.922059,Gates Ave,J Z,315
40.714581,-73.943744,Graham Ave,L,444
40.675307,-73.971028,Grand Army Plaza,1 2,78
40.737252,-73.877179,Grand Ave,G R V,266
40.752956,-73.979218,Grand Central,4 5 6 7 S,99
40.711971,-73.940670,Grand St,L,445
40.719105,-73.993342,Grand St,S,290
40.676879,-73.865460,Grant Ave,A,234
40.731553,-73.954470,Greenpoint Ave,G,287
40.877868,-73.865919,Gun Hill Rd,2 5,59
40.869162,-73.846463,Gun Hill Rd,5,66
40.686396,-73.916644,Halsey St,J,316
40.695699,-73.904262,Halsey St,L,451
40.706804,-73.953200,Hewes St,J M,310
40.699094,-73.990383,High St,A C,218
40.728602,-74.005329,Houston St,1 2,7
40.660403,-73.830446,Howard Beach,A,242
